hafasId;rmvId;name;nameLong;city;district;lat;lng
3000522;522;Börneplatz;Frankfurt (Main) Börneplatz;Stadt Frankfurt a.M;Frankfurt-Altstadt;50,11254008;8,688044434
3000003;3;Dom/Römer;Frankfurt (Main) Dom/Römer;Stadt Frankfurt a.M;Frankfurt-Altstadt;50,11084832;8,684141034
3000510;510;Konstablerwache;Frankfurt (Main) Konstablerwache;Stadt Frankfurt a.M;Frankfurt-Altstadt;50,1146794;8,687904677
3060771;60771;Neue Kräme;Frankfurt (Main) Neue Kräme;Stadt Frankfurt a.M;Frankfurt-Altstadt;50,11159542;8,681186275
3000002;2;Römer/Paulskirche;Frankfurt (Main) Römer/Paulskirche;Stadt Frankfurt a.M;Frankfurt-Altstadt;50,11088761;8,682071727
3000523;523;Allerheiligentor;Frankfurt (Main) Allerheiligentor;Stadt Frankfurt a.M;Innenstadt;50,11326422;8,693254538
3000422;422;Alte Gasse;Frankfurt (Main) Alte Gasse;Stadt Frankfurt a.M;Innenstadt;50,11814797;8,687280852
3000201;201;Alte Oper;Frankfurt (Main) Alte Oper;Stadt Frankfurt a.M;Innenstadt;50,1153698;8,670982734
3060775;60775;Börneplatz/Stoltzestraße;Frankfurt (Main) Börneplatz/Stoltzestraße;Stadt Frankfurt a.M;Innenstadt;50,11261538;8,689302194
3000401;401;Eschenheimer Tor;Frankfurt (Main) Eschenheimer Tor;Stadt Frankfurt a.M;Innenstadt;50,11786486;8,679089196
3065052;65052;Freßgass;Frankfurt (Main) Freßgass;Stadt Frankfurt a.M;Innenstadt;50,11514183;8,673025568
3000514;514;Friedberger Anlage;Frankfurt (Main) Friedberger Anlage;Stadt Frankfurt a.M;Innenstadt;50,11395165;8,694829985
3000001;1;Hauptwache;Frankfurt (Main) Hauptwache;Stadt Frankfurt a.M;Innenstadt;50,11395477;8,679339075
3000524;524;Hospital zum Hl.Geist;Frankfurt (Main) Hospital Zum Heiligen Geist;Stadt Frankfurt a.M;Innenstadt;50,11062877;8,692768127
3060792;60792;Peterskirche;Frankfurt (Main) Peterskirche;Stadt Frankfurt a.M;Innenstadt;50,11790467;8,683758951
3000013;13;Roßmarkt;Frankfurt (Main) Roßmarkt;Stadt Frankfurt a.M;Innenstadt;50,11206584;8,675758751
3000527;527;Schöne Aussicht;Frankfurt (Main) Schöne Aussicht;Stadt Frankfurt a.M;Innenstadt;50,10998684;8,688047073
3001487;1487;Taunustor;Frankfurt (Main) Taunustor;Stadt Frankfurt a.M;Innenstadt;50,11220828;8,67206695
3000004;4;Willy-Brandt-Platz;Frankfurt (Main) Willy-Brandt-Platz;Stadt Frankfurt a.M;Innenstadt;50,10920474;8,67498127
3060770;60770;Elbestraße;Frankfurt (Main) Elbestraße;Stadt Frankfurt a.M;Bahnhofsviertel;50,10632998;8,669381311
3060768;60768;Francois-Mitterrand-Platz;Frankfurt (Main) Francois-Mitterrand-Platz;Stadt Frankfurt a.M;Bahnhofsviertel;50,11087355;8,664331132
3060767;60767;Hauptbahnhof/Karlstraße;Frankfurt (Main) Hauptbahnhof/Karlstraße;Stadt Frankfurt a.M;Bahnhofsviertel;50,10871406;8,6637032
3000008;8;Hauptbahnhof/Münchener Straße;Frankfurt (Main) Hauptbahnhof/Münchener Straße;Stadt Frankfurt a.M;Bahnhofsviertel;50,10690544;8,666274026
3001473;1473;Mainluststraße;Frankfurt (Main) Mainluststraße;Stadt Frankfurt a.M;Bahnhofsviertel;50,10643475;8,671449445
3000007;7;Weser-/Münchener Straße;Frankfurt (Main) Weser-/Münchener Straße;Stadt Frankfurt a.M;Bahnhofsviertel;50,10795095;8,670334696
3060766;60766;Weserstraße;Frankfurt (Main) Weserstraße;Stadt Frankfurt a.M;Bahnhofsviertel;50,1099067;8,668881329
3001959;1959;Altkönigstraße;Frankfurt (Main) Altkönigstraße;Stadt Frankfurt a.M;Westend-Süd;50,12083829;8,66553378
3000216;216;Bettinaplatz;Frankfurt (Main) Bettinaplatz;Stadt Frankfurt a.M;Westend-Süd;50,11454771;8,657202988
3000215;215;Ditmarstraße;Frankfurt (Main) Ditmarstraße;Stadt Frankfurt a.M;Westend-Süd;50,12590128;8,653779479
3001958;1958;Eppsteiner Straße;Frankfurt (Main) Eppsteiner Straße;Stadt Frankfurt a.M;Westend-Süd;50,12041312;8,667746036
3000210;210;Festhalle/Messe;Frankfurt (Main) Festhalle/Messe;Stadt Frankfurt a.M;Westend-Süd;50,11253432;8,654323415
3001946;1946;Festhalle/Messe Schleife;Frankfurt (Main) Festhalle/Messe Schleife;Stadt Frankfurt a.M;Westend-Süd;;
3000208;208;Kettenhofweg;Frankfurt (Main) Kettenhofweg;Stadt Frankfurt a.M;Westend-Süd;50,11607892;8,658170746
3001488;1488;Kronberger Straße;Frankfurt (Main) Kronberger Straße;Stadt Frankfurt a.M;Westend-Süd;50,12079896;8,67063783
3001952;1952;Ludwig-Erhard-Anlage;Frankfurt (Main) Ludwig-Erhard-Anlage;Stadt Frankfurt a.M;Westend-Süd;50,11381821;8,650749022
3001957;1957;Niedenau;Frankfurt (Main) Niedenau;Stadt Frankfurt a.M;Westend-Süd;50,11679781;8,667323685
3000204;204;Palmengartenstraße;Frankfurt (Main) Palmengartenstraße;Stadt Frankfurt a.M;Westend-Süd;50,1196456;8,657334313
3001956;1956;Schubertstraße;Frankfurt (Main) Schubertstraße;Stadt Frankfurt a.M;Westend-Süd;50,11866328;8,659578509
3000211;211;Senckenbergmuseum;Frankfurt (Main) Senckenbergmuseum;Stadt Frankfurt a.M;Westend-Süd;50,11774508;8,653111338
3001961;1961;Siesmayerstraße;Frankfurt (Main) Siesmayerstraße;Stadt Frankfurt a.M;Westend-Süd;50,1216583;8,660004693
3000011;11;Taunusanlage;Frankfurt (Main) Taunusanlage;Stadt Frankfurt a.M;Westend-Süd;50,11335879;8,668815538
3001207;1207;Varrentrappstraße;Frankfurt (Main) Varrentrappstraße;Stadt Frankfurt a.M;Westend-Süd;50,11553271;8,646905621
3000206;206;Westend;Frankfurt (Main) Westend;Stadt Frankfurt a.M;Westend-Süd;50,11824091;8,662713522
3060758;60758;Wöhlerstraße;Frankfurt (Main) Wöhlerstraße;Stadt Frankfurt a.M;Westend-Süd;50,11739612;8,665921336
3000407;407;Bremer Platz;Frankfurt (Main) Bremer Platz;Stadt Frankfurt a.M;Westend-Nord;50,12391647;8,669889238
3065051;65051;Bremer Straße;Frankfurt (Main) Bremer Straße;Stadt Frankfurt a.M;Westend-Nord;50,12672532;8,671254365
3001301;1301;Dornbusch;Frankfurt (Main) Dornbusch;Stadt Frankfurt a.M;Westend-Nord;50,13863514;8,670445223
3001975;1975;Dornbusch/Am Grünhof;Frankfurt (Main) Dornbusch/Am Grünhof;Stadt Frankfurt a.M;Westend-Nord;50,13616525;8,671301466
3000410;410;Grüneburgpark;Frankfurt (Main) Grüneburgpark;Stadt Frankfurt a.M;Westend-Nord;50,13146243;8,661613434
3000402;402;Grüneburgweg;Frankfurt (Main) Grüneburgweg;Stadt Frankfurt a.M;Westend-Nord;50,12144255;8,675695299
3000403;403;Holzhausenstraße;Frankfurt (Main) Holzhausenstraße;Stadt Frankfurt a.M;Westend-Nord;50,12670578;8,673883616
3000408;408;Lessing-Gymnasium;Frankfurt (Main) Lessing-Gymnasium;Stadt Frankfurt a.M;Westend-Nord;50,12494147;8,67309853
3001500;1500;Max-Horkheimer-Straße;Frankfurt (Main) Max-Horkheimer-Straße;Stadt Frankfurt a.M;Westend-Nord;50,12925676;8,669908378
3000404;404;Miquel-/Adickesallee;Frankfurt (Main) Miquel-/Adickesallee;Stadt Frankfurt a.M;Westend-Nord;50,13165463;8,672185574
3000411;411;Miquel-/Hansaallee;Frankfurt (Main) Miquel-/Hansaallee;Stadt Frankfurt a.M;Westend-Nord;50,13155687;8,669417
3000214;214;Mitscherlichplatz;Frankfurt (Main) Mitscherlichplatz;Stadt Frankfurt a.M;Westend-Nord;50,12351577;8,664969724
3001302;1302;Platenstraße;Frankfurt (Main) Platenstraße;Stadt Frankfurt a.M;Westend-Nord;50,13677787;8,665464431
3001258;1258;Plieningerstraße;Frankfurt (Main) Plieningerstraße;Stadt Frankfurt a.M;Westend-Nord;50,13366655;8,668353436
3001951;1951;Uni Campus Westend;Frankfurt (Main) Uni Campus Westend;Stadt Frankfurt a.M;Westend-Nord;50,12407378;8,668307974
3000413;413;Adlerflychtplatz;Frankfurt (Main) Adlerflychtplatz;Stadt Frankfurt a.M;Nordend-West;50,1241377;8,68148038
3000415;415;Bertramstraße;Frankfurt (Main) Bertramstraße;Stadt Frankfurt a.M;Nordend-West;50,13220007;8,677538581
3000412;412;Bornwiesenweg;Frankfurt (Main) Bornwiesenweg;Stadt Frankfurt a.M;Nordend-West;50,12167163;8,680489985
3065055;65055;Cronstettenstraße;Frankfurt (Main) Cronstettenstraße;Stadt Frankfurt a.M;Nordend-West;50,12933185;8,683949232
3000420;420;Deutsche Nationalbibliothek;Frankfurt (Main) Deutsche Nationalbibliothek;Stadt Frankfurt a.M;Nordend-West;50,13163382;8,68411586
3001430;1430;Friedberger Warte;Frankfurt (Main) Friedberger Warte;Stadt Frankfurt a.M;Nordend-West;50,13953847;8,698443788
3000419;419;Glauburgstraße;Frankfurt (Main) Glauburgstraße;Stadt Frankfurt a.M;Nordend-West;50,1265409;8,685799631
